# HoloTracker Batch Processing Results
# Generated on: 2025-10-17 09:58:21
#
# CONFIGURATION PARAMETERS:
# Hologram Directory: C:/TRAVAIL/RepositoriesGithub/HOLOTRACKER_FULL_PYTHON/Film REF
# Mean Hologram File: C:/TRAVAIL/RepositoriesGithub/HOLOTRACKER_FULL_PYTHON/Film REF\mean\mean_log.tif
#
# HOLOGRAM PARAMETERS:
# Wavelength (m): 660e-9
# Medium Optical Index: 1.33
# Hologram Size X: 1024
# Hologram Size Y: 1024
# Pixel Size (m): 5.5e-6
# Objective Magnification: 40
#
# PROPAGATION PARAMETERS:
# Distance Initial (m): 10e-6
# Number of Planes: 220
# Step (m): 0.5e-6
#
# FOURIER FILTER PARAMETERS:
# High Pass: 15
# Low Pass: 200
#
# FOCUS PARAMETERS:
# Focus Type: SUM_OF_VARIANCE
# Sum Size: 15
#
# ANALYSIS PARAMETERS:
# Remove Mean: True
# Cleaning Type: subtraction
# Batch Threshold: compute on 1st hologram
#
# CCL PARAMETERS:
# Threshold (Nb StdVar): 12
# Connectivity: 26
# Min Voxel: 10
# Max Voxel: 0
#
# DATA COLUMNS:
HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
3,17,7.56369191e-11,8.28848279e-11,3.64764346e-11,178
3,18,1.40334931e-10,2.79271426e-11,3.87271029e-11,303
3,19,3.80765887e-11,1.30204891e-10,4.24793761e-11,4541
3,20,1.05646577e-10,4.56968119e-11,4.67293867e-11,14122
3,21,1.31531138e-10,1.38865420e-10,4.63673059e-11,6095
3,22,1.28716885e-10,1.22904006e-10,4.81969510e-11,10589
3,23,4.17517113e-11,1.03107981e-10,4.92694671e-11,20709
3,24,1.08219065e-10,1.26297557e-10,4.81017378e-11,8991
3,25,1.30436092e-10,9.41342878e-11,4.82321338e-11,3944
3,26,1.30638888e-10,1.49784796e-13,4.92240724e-11,149
3,27,9.07435315e-11,2.20258444e-11,5.36144616e-11,3767
3,28,1.07280903e-10,4.71436870e-11,5.27877055e-11,223
3,29,9.02142492e-11,2.17390734e-11,5.80000051e-11,10
3,30,4.60498159e-11,8.66061964e-11,6.55229451e-11,146
3,31,9.20331076e-11,1.19657627e-10,6.66760534e-11,1700
3,32,9.27476067e-11,1.16310599e-10,7.30549291e-11,418
4,1,3.13025794e-12,3.45266335e-12,1.51253278e-12,470
4,2,3.12286670e-12,4.46257218e-12,8.03991156e-13,44
4,3,4.34008834e-11,9.62395570e-11,7.45174702e-12,5436
4,4,4.11911788e-11,1.13413691e-10,8.48097534e-12,21825
4,5,3.51736503e-12,1.36255345e-10,0.00000000e+00,19
4,6,1.14912189e-10,1.24393089e-10,1.86101965e-12,25
4,7,4.11446199e-11,1.16885101e-10,4.79435039e-12,56
4,8,4.11660221e-11,1.17449003e-10,4.91247465e-12,23
4,9,4.11031506e-11,1.16157171e-10,6.91566220e-12,18
4,10,4.30803448e-11,9.75763032e-11,1.64149078e-11,54
4,11,4.10110952e-11,1.15441806e-10,1.69228533e-11,26
4,12,4.14568422e-11,1.14537506e-10,1.97497538e-11,10
4,13,4.33435198e-11,9.65548315e-11,2.13865987e-11,320
4,14,4.36338487e-11,9.68688910e-11,2.50412522e-11,12
4,15,9.61362166e-11,1.55045418e-11,3.02243934e-11,4191
4,16,1.39294457e-12,2.77997860e-11,3.33401622e-11,4995
4,17,7.20210119e-12,5.74503283e-11,3.19760184e-11,6139
4,18,7.58244278e-11,8.39105633e-11,3.29242575e-11,5666
4,19,7.20719981e-12,2.41162052e-11,3.27732268e-11,1196
4,20,1.38908494e-10,6.60155201e-11,3.37265374e-11,212
4,21,1.06756124e-10,4.94462038e-11,3.59256592e-11,225
4,22,7.56295849e-11,8.35822211e-11,3.64582847e-11,195
4,23,3.81013379e-11,1.31388049e-10,4.26907136e-11,4664
4,24,1.40423843e-10,2.78208154e-11,3.88078952e-11,180
4,25,1.05846600e-10,4.88565056e-11,4.02265869e-11,80
4,26,1.05659266e-10,4.70999039e-11,4.66647944e-11,13520
4,27,1.31591150e-10,1.39771772e-10,4.59923758e-11,4439
4,28,1.28732194e-10,1.24358645e-10,4.81150237e-11,11742
4,29,1.31510373e-10,4.64882987e-13,4.72059182e-11,1752
4,30,4.18060663e-11,1.04579500e-10,4.92019535e-11,22421
4,31,1.08284155e-10,1.27801381e-10,4.78807924e-11,8338
4,32,1.30372573e-10,9.56309523e-11,4.80901072e-11,3650
4,33,9.08095608e-11,2.35466850e-11,5.35951986e-11,2909
4,34,1.07525615e-10,4.80596682e-11,5.34412393e-11,25
4,35,1.02991813e-10,4.75144516e-11,5.60889930e-11,173
4,36,1.32354122e-10,1.25049977e-10,5.94832236e-11,28
4,37,4.60711308e-11,8.83536486e-11,6.53746029e-11,616
4,38,9.21202954e-11,1.21309575e-10,6.66621054e-11,1668
4,39,9.27471629e-11,1.17473501e-10,7.28783998e-11,179
5,1,3.31574142e-12,3.75725858e-12,2.63396532e-12,1855
5,2,1.36974077e-11,5.73492471e-11,1.06141817e-12,34
5,3,4.33760215e-11,9.77301243e-11,7.06039418e-12,5321
5,4,4.16477997e-11,1.14694943e-10,8.26309315e-12,17712
5,5,1.14957220e-10,1.25865510e-10,1.78331288e-12,266
5,6,1.18074910e-10,1.26302184e-10,7.63025753e-13,190
5,7,4.15939576e-11,1.17149997e-10,5.74841488e-12,10
5,8,4.31181652e-11,9.81310077e-11,1.90653027e-11,186
5,9,4.14748938e-11,1.16269737e-10,1.81816031e-11,25
5,10,4.32923625e-11,9.85111983e-11,2.45180327e-11,27
5,11,4.13960006e-11,1.14412134e-10,2.49511450e-11,191
5,12,9.62642298e-11,1.56003716e-11,3.02764147e-11,3742
5,13,7.15803981e-12,5.76089406e-11,3.18163366e-11,6074
5,14,1.27636872e-12,2.78977768e-11,3.36685844e-11,4388
5,15,7.58163660e-11,8.43064845e-11,3.29071809e-11,5665
5,16,7.31925229e-12,2.44427010e-11,3.28731003e-11,1192
5,17,1.38901742e-10,6.64950712e-11,3.32397904e-11,25
5,18,9.55774449e-11,1.56422138e-11,3.50000009e-11,29
5,19,7.55813089e-11,8.40799621e-11,3.64131010e-11,141
5,20,1.40440621e-10,2.80439363e-11,3.90207060e-11,140
5,21,3.80934398e-11,1.32627640e-10,4.31184599e-11,4327
5,22,1.05722705e-10,4.85656419e-11,4.65830963e-11,12778
5,23,1.32030866e-10,1.40289776e-10,4.51159576e-11,1570
5,24,1.31510256e-10,9.02868464e-13,4.70820123e-11,4026
